pid,majorcat,province,area,sex,age,a003,a010,a038,a039,a043,a045,a046,a048,a392,a116,a117,a140,a141,a144,a146,a158,a159,a160,a161,a162,d016,d020,d041,d042,d046,d048,d049,d051,d254,d106,d107,d130,d131,d134,d136,d144,d145,d146,d147,d148,f073,f074,h001,q001,q015,q016,q017,p001,year,Resign,First_Work,Admission,Graduation,Cur,Cur_Work_date,Start_Work1_date,End_Work1_date,Work_to_Cur,Start_to_End,ck
100166,1,2,8,2,22.5,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1,1,1,1,1,5,6,5,5,3,3,1,3,1,1,1,2,3.2,1,3,3,5,5,1,2018,1,2,2016-03-01,2018-02-28,2018-09-01,,2018-03-01,2018-10-01,,7,0
100191,1,4,7,2,26.916666667,,,,,,,,,,,,,,,,,,,,,6,7,1,2,2,2,2,2,2,5,40,3,3,3,4,2,2,2,2,2,3,4.3,2,4,4,6,6,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2017-11-01,2018-05-01,,6,0
100212,1,2,8,2,24.666666667,,,,,,,,,,,,,,,,,,,,,-1,8,3,2,2,3,1,2,2,6,40,3,3,1,1,3,3,3,3,3,2,3.1,1,3,4,4,4,1,2018,1,2,2013-03-01,2017-08-31,2018-09-01,,2018-01-01,2018-08-01,,7,0
100221,1,2,8,2,25.25,,,,,,,,,,,,,,,,,,,,,1,5,2,2,2,1,2,2,2,5,25,3,3,1,3,2,2,2,2,2,3,3,1,4,5,5,5,1,2018,1,2,2013-03-01,2018-02-28,2018-09-01,,2018-07-01,2018-11-01,,4,0
100278,1,2,8,2,22.666666667,,,,,,,,,,,,,,,,,,,,,-1,1,3,3,3,3,3,3,3,5,40,4,5,4,4,1,3,1,1,1,3,2.9,1,3,6,7,5,1,2018,1,2,2015-03-01,2018-02-28,2018-09-01,,2018-10-01,2018-11-01,,1,0
100296,1,4,15,2,23.333333333,,,,,,,,,,,,,,,,,,,,,-1,15,1,1,3,1,2,1,3,5,40,4,4,1,2,1,3,1,1,1,3,3,1,4,7,7,6,1,2018,1,2,2015-03-01,2018-02-28,2018-09-01,,2018-05-01,2019-05-01,,12,0
100464,2,2,8,1,27.75,2,9,1,1,3,1,1,1,3,5,40,4,4,3,4,2,1,1,2,1,,,,,,,,,,,,,,,,,,,,,3,3,2,5,6,6,6,1,2018,0,1,2016-03-01,2018-02-28,2018-09-01,2014-03-01,,,54,,0
100486,2,2,8,2,23.75,,,,,,,,,,,,,,,,,,,,,-1,1,1,1,3,1,1,3,1,5,40,4,4,4,4,1,3,1,1,1,3,3.4,2,4,4,5,5,1,2018,1,2,2015-03-01,2018-02-28,2018-09-01,,2018-03-01,2019-03-01,,12,0
100710,2,1,1,2,22.166666667,,,,,,,,,,,,,,,,,,,,,-1,8,3,3,3,3,3,3,3,4,35,3,3,1,2,3,3,3,3,3,3,3.4,2,3,3,4,4,1,2018,1,2,2016-03-01,2018-02-28,2018-09-01,,2018-04-01,2019-01-01,,9,0
100717,2,1,1,2,21.916666667,,,,,,,,,,,,,,,,,,,,,-1,1,1,1,2,2,1,1,1,5,40,4,3,3,5,1,3,1,1,1,2,3,1,4,7,7,7,1,2018,1,2,2016-03-01,2018-02-28,2018-09-01,,2017-12-01,2019-03-01,,15,0
100763,2,2,8,1,24.666666667,,,,,,,,,,,,,,,,,,,,,3,8,1,1,1,1,1,1,1,5,40,3,3,2,2,2,2,2,2,2,3,3.8,2,5,6,6,6,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-03-01,2019-03-01,,12,0
100810,2,4,3,1,24.583333333,,,,,,,,,,,,,,,,,,,,,1,14,2,2,2,2,2,2,2,6,48,5,4,1,4,2,2,2,2,2,3,4,1,5,6,6,6,1,2018,1,2,2016-03-01,2018-02-28,2018-09-01,,2018-02-01,2019-02-01,,12,0
101082,2,4,2,2,21.916666667,,,,,,,,,,,,,,,,,,,,,9,15,3,2,2,1,1,3,2,1,16,3,3,1,1,1,3,1,1,1,2,4.1,2,3,5,5,5,1,2018,1,2,2016-03-01,2018-02-28,2018-09-01,,2018-03-01,2018-08-01,,5,0
101202,2,2,8,1,26.583333333,,,,,,,,,,,,,,,,,,,,,1,8,2,2,2,2,2,2,2,5,40,4,4,4,4,1,2,1,1,2,1,3.7,2,5,6,7,6,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-04-01,2018-06-01,,2,0
101500,3,4,15,2,22.416666667,,,,,,,,,,,,,,,,,,,,,-1,15,1,1,3,3,1,3,3,5,40,4,4,3,2,1,3,3,1,1,1,3.6,2,3,4,4,4,1,2018,1,2,2016-03-01,2018-02-28,2018-09-01,,2018-03-01,2019-02-01,,11,0
101507,3,4,14,2,22.583333333,,,,,,,,,,,,,,,,,,,,,2,14,1,1,3,1,1,1,3,5,40,2,2,5,5,1,3,1,1,1,3,4.2,1,3,5,5,5,1,2018,1,2,2015-03-01,2018-02-28,2018-09-01,,2018-03-01,2019-03-01,,12,0
101521,3,4,3,2,24.166666667,,,,,,,,,,,,,,,,,,,,,3,14,1,2,3,2,1,2,3,5,45,1,3,3,4,1,3,1,1,3,3,3.7,1,2,7,7,7,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-02-01,2018-07-01,,5,0
101660,4,2,8,1,25.916666667,,,,,,,,,,,,,,,,,,,,,-1,8,3,1,3,2,1,3,3,5,45,3,3,3,4,1,3,1,1,1,3,3.8,1,3,7,7,7,1,2018,1,2,2013-03-01,2018-02-28,2018-09-01,,2017-07-01,2018-06-01,,11,0
101693,4,2,5,2,23.166666667,,,,,,,,,,,,,,,,,,,,,-1,1,3,3,3,3,3,3,3,2,18,4,4,2,3,2,2,2,2,2,3,4,1,3,4,4,4,1,2018,1,2,2015-03-01,2018-02-28,2018-09-01,,2019-07-01,2019-08-01,,1,0
101694,4,2,5,2,23.833333333,,,,,,,,,,,,,,,,,,,,,-1,8,2,3,3,2,3,3,3,5,45,1,3,3,3,2,2,2,2,2,3,3,1,3,4,4,4,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-07-01,2018-08-01,,1,0
101700,4,3,10,2,24.416666667,2,1,1,1,3,1,2,2,1,5,30,4,4,1,2,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,2,5,1,1,1,1,2018,0,1,2016-03-01,2018-02-28,2018-09-01,2014-12-01,,,45,,0
101733,4,2,9,1,25.083333333,,,,,,,,,,,,,,,,,,,,,-1,9,2,2,2,1,2,1,2,2,16,4,4,1,1,3,3,3,3,3,3,3.8,2,4,7,7,7,1,2018,1,2,2013-03-01,2018-02-28,2018-09-01,,2017-11-01,2019-08-01,,21,0
101799,4,5,13,1,32.166666667,2,4,1,1,1,1,1,1,1,5,40,4,4,2,3,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,1,3.5,2,5,5,7,7,2,2018,0,1,2017-03-01,2018-02-28,2018-09-01,2014-04-01,,,53,,0
101818,4,1,1,1,25.666666667,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,5,35,4,4,1,2,2,2,2,2,2,3,3.9,1,5,5,5,5,1,2018,1,2,2012-03-01,2018-02-28,2018-09-01,,2018-07-01,2018-10-01,,3,0
101864,4,5,13,1,30.5,2,3,1,1,1,1,1,1,1,6,48,3,3,3,4,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,3,3,2,3,3,5,3,2,2018,0,1,2016-03-01,2018-02-28,2018-09-01,2015-02-01,,,43,,0
101878,4,3,4,1,24.666666667,,,,,,,,,,,,,,,,,,,,,-1,1,1,1,1,1,1,1,1,5,40,2,2,2,2,1,2,1,1,1,3,3.2,2,3,4,4,4,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-06-01,2019-07-01,,13,0
101900,4,5,13,1,24.666666667,,,,,,,,,,,,,,,,,,,,,2,13,2,2,2,1,2,2,2,5,22,3,4,1,1,2,2,3,3,3,3,3.7,1,5,3,4,5,1,2018,1,2,2013-03-01,2018-02-28,2018-09-01,,2018-10-01,2019-05-01,,7,0
101918,4,2,5,1,24.5,,,,,,,,,,,,,,,,,,,,,9,5,1,3,3,3,3,3,3,5,40,3,4,1,2,3,3,1,1,1,3,3.6,1,4,4,4,4,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-08-01,2018-09-01,,1,0
101965,4,4,15,2,22.25,,,,,,,,,,,,,,,,,,,,,1,15,2,2,2,2,2,2,2,6,48,3,3,2,2,2,2,2,2,2,1,3.7,2,4,5,6,5,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-04-01,2018-08-01,,4,0
101978,4,4,2,1,24.583333333,,,,,,,,,,,,,,,,,,,,,-1,2,3,3,3,3,1,3,3,5,45,4,4,2,3,2,2,2,1,2,3,4.2,1,4,5,5,5,1,2018,1,2,2013-03-01,2018-02-28,2018-09-01,,2018-02-01,2019-06-01,,16,0
101993,4,1,1,1,21.75,,,,,,,,,,,,,,,,,,,,,-1,1,3,3,3,3,3,3,3,6,48,3,3,1,2,1,2,1,1,1,3,4.2,1,2,4,6,6,1,2018,1,2,2016-03-01,2018-02-28,2018-09-01,,2018-10-01,2018-12-01,,2,0
102014,4,2,8,1,24.583333333,,,,,,,,,,,,,,,,,,,,,-1,8,1,3,3,1,1,3,3,5,40,3,3,4,4,1,3,1,1,1,1,3.5,2,5,5,5,5,1,2018,1,2,2013-03-01,2018-02-28,2018-09-01,,2018-02-01,2019-04-01,,14,0
102151,4,5,6,1,24.5,,,,,,,,,,,,,,,,,,,,,4,6,1,1,3,3,1,1,3,5.5,49,2,3,4,4,1,2,1,3,3,3,3.8,2,4,7,7,7,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-01-01,2018-04-01,,3,0
102165,4,2,9,1,24.666666667,,,,,,,,,,,,,,,,,,,,,-1,9,2,2,2,2,2,2,2,1,8,3,3,2,3,2,2,2,2,2,3,3.9,2,3,4,4,4,1,2018,1,2,2013-03-01,2018-02-28,2018-09-01,,2018-07-01,2019-02-01,,7,0
102211,4,4,14,1,23.75,,,,,,,,,,,,,,,,,,,,,1,14,2,2,2,2,2,2,2,5,40,3,3,1,3,3,3,3,3,3,3,3.5,2,4,4,4,4,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-09-01,2019-03-01,,6,0
102217,4,5,13,1,28.416666667,,,,,,,,,,,,,,,,,,,,,-1,13,1,1,3,1,1,3,3,5,40,3,3,1,2,1,3,3,1,1,3,3.9,2,5,6,6,6,1,2018,1,2,2016-03-01,2018-02-28,2018-09-01,,2018-05-01,2018-06-01,,1,0
102285,4,4,15,1,26.166666667,2,1,1,1,3,1,1,1,3,6,44,4,4,4,3,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,3,3.5,2,4,6,6,6,1,2018,0,1,2016-03-01,2018-02-28,2018-09-01,2015-03-01,,,42,,0
102289,4,4,14,1,24.166666667,,,,,,,,,,,,,,,,,,,,,-1,8,1,1,3,1,1,1,3,6,48,4,4,4,4,1,2,1,1,1,3,3.3,2,5,6,7,6,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2017-08-01,2019-05-01,,21,0
102311,4,5,6,1,25.166666667,2,5,1,1,1,1,1,1,1,5,50,4,2,4,3,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,3,2.8,2,4,4,6,4,1,2018,0,1,2013-03-01,2018-02-28,2018-09-01,2016-09-01,,,24,,0
102327,4,1,1,1,24,,,,,,,,,,,,,,,,,,,,,9,1,3,3,3,3,3,3,3,3,24,4,4,1,3,3,3,2,3,1,3,4,2,4,6,6,5,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-02-01,2018-03-01,,1,0
102461,4,2,5,1,22.666666667,2,4,1,1,1,1,1,1,1,5,40,3,3,4,4,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,3,4.1,2,4,4,4,4,1,2018,0,1,2016-03-01,2018-02-28,2018-09-01,2016-02-01,,,31,,0
102498,4,4,3,1,23.916666667,,,,,,,,,,,,,,,,,,,,,6,3,1,3,3,1,2,3,3,5,40,3,2,2,1,1,3,1,1,1,1,3,2,4,6,6,6,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2017-09-01,2019-06-01,,21,0
102521,4,2,8,1,26.333333333,,,,,,,,,,,,,,,,,,,,,2,5,3,3,3,1,3,3,3,2,12,4,4,2,3,3,3,3,1,3,3,2.4,1,4,7,6,6,1,2018,1,2,2012-03-01,2018-02-28,2018-09-01,,2018-12-01,2019-06-01,,6,0
102522,4,2,8,1,26.583333333,2,4,1,1,2,2,1,2,2,5,40,3,3,4,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,3,4.4,1,4,4,6,4,1,2018,0,1,2011-03-01,2018-02-28,2018-09-01,2016-01-01,,,32,,0
102649,4,1,1,2,22,,,,,,,,,,,,,,,,,,,,,9,1,1,1,1,2,1,3,1,5,35,4,4,1,1,1,3,1,1,1,3,3.3,1,5,7,7,7,1,2018,1,2,2016-03-01,2018-02-28,2018-09-01,,2018-08-01,2019-08-01,,12,0
102653,4,2,8,2,23.666666667,,,,,,,,,,,,,,,,,,,,,1,5,2,2,3,1,2,2,3,3,18,5,4,2,2,2,2,2,2,2,3,3.4,1,4,6,5,6,1,2018,1,2,2017-03-01,2018-02-28,2018-09-01,,2018-10-01,2019-07-01,,9,0
102719,4,2,8,1,28.083333333,2,7,1,1,1,1,2,2,1,5,45,2,2,3,3,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,1,2.8,1,3,4,4,3,1,2018,0,1,2010-03-01,2018-02-28,2018-09-01,2013-11-01,,,58,,0
102807,4,2,8,1,24.916666667,,,,,,,,,,,,,,,,,,,,,7,1,1,1,1,1,1,1,1,5,52,2,2,3,2,1,3,1,1,1,3,4.3,2,3,4,4,4,1,2018,1,2,2013-03-01,2018-02-28,2018-09-01,,2018-02-01,2019-03-01,,13,0
102813,4,2,8,2,24.833333333,,,,,,,,,,,,,,,,,,,,,3,8,1,1,2,1,1,2,2,5,40,3,3,3,4,1,2,1,1,1,3,3.6,2,5,4,5,4,1,2018,1,2,2013-03-01,2018-02-28,2018-09-01,,2018-08-01,2019-05-01,,9,0
102831,4,5,13,2,21.916666667,,,,,,,,,,,,,,,,,,,,,7,6,1,1,1,1,1,1,1,6,40,3,2,1,2,1,2,1,1,1,3,4.2,2,3,6,6,4,1,2018,1,2,2016-03-01,2018-02-28,2018-09-01,,2018-07-01,2018-12-01,,5,0
102845,4,1,1,2,24,,,,,,,,,,,,,,,,,,,,,1,8,1,1,3,2,2,1,3,5,40,1,1,1,2,1,3,1,1,1,3,4.3,2,5,4,4,4,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2017-12-01,2018-06-01,,6,0
102847,4,1,1,2,22.666666667,,,,,,,,,,,,,,,,,,,,,3,1,3,2,3,2,3,3,3,5,40,3,3,4,4,1,2,1,1,1,3,4,1,4,5,5,5,1,2018,1,2,2015-03-01,2018-02-28,2018-09-01,,2019-06-01,2019-07-01,,1,0
102853,4,1,1,2,23.75,,,,,,,,,,,,,,,,,,,,,3,1,1,1,3,2,1,3,3,5,45,2,2,3,4,1,2,1,1,1,3,4,1,4,5,5,5,1,2018,1,2,2015-03-01,2018-02-28,2018-09-01,,2018-01-01,2018-03-01,,2,0
102992,4,4,3,1,26.583333333,2,2,1,1,1,1,1,1,1,5,40,4,4,4,4,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,,3,4.3,2,3,5,4,5,1,2018,0,1,2017-03-01,2018-02-28,2018-09-01,2016-03-01,,,30,,0
103003,4,5,6,1,24.083333333,,,,,,,,,,,,,,,,,,,,,-1,8,1,2,3,1,1,2,3,5,40,2,2,3,2,1,2,1,1,1,3,3.6,2,5,6,6,6,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-10-01,2019-02-01,,4,0
103024,4,2,9,2,22.583333333,,,,,,,,,,,,,,,,,,,,,2,9,3,3,3,3,3,3,3,5,55,4,5,3,4,3,3,3,3,3,3,4.3,2,3,4,5,4,1,2018,1,2,2016-03-01,2018-02-28,2018-09-01,,2017-12-01,2018-02-01,,2,0
103091,4,1,1,1,25.583333333,1,-1,3,3,3,3,3,1,3,1,8,3,3,2,3,3,3,3,2,3,,,,,,,,,,,,,,,,,,,,,1,3.4,1,4,7,6,6,1,2018,0,1,2013-03-01,2018-02-28,2018-09-01,2013-04-01,,,65,,0
103114,4,4,15,1,27.75,,,,,,,,,,,,,,,,,,,,,6,15,2,1,2,1,2,1,2,5,20,4,5,5,3,1,3,1,1,1,3,3.5,2,3,4,4,4,1,2018,1,2,2016-03-01,2018-02-28,2018-09-01,,2018-08-01,2019-07-01,,11,0
103138,4,5,12,1,25.666666667,,,,,,,,,,,,,,,,,,,,,9,12,2,2,2,2,2,2,2,6,30,4,4,1,1,1,2,1,1,1,3,3.4,2,4,4,4,4,1,2018,1,2,2016-03-01,2018-02-28,2018-09-01,,2018-12-01,2019-04-01,,4,0
103145,4,2,9,1,22.083333333,2,3,1,1,2,1,1,1,2,5,40,1,2,1,1,1,3,1,1,3,,,,,,,,,,,,,,,,,,,,,3,4.2,2,2,1,7,2,1,2018,0,1,2016-03-01,2018-02-28,2018-09-01,2016-01-01,,,32,,0
103358,5,5,6,1,24.666666667,,,,,,,,,,,,,,,,,,,,,-1,11,1,1,1,1,1,1,1,5,40,4,4,4,4,1,2,1,1,1,3,3.8,2,4,5,5,5,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2017-12-01,2018-06-01,,6,0
103377,5,2,8,2,29.5,,,,,,,,,,,,,,,,,,,,,3,1,1,1,3,1,1,3,3,5,45,4,3,3,3,1,3,1,1,1,3,4,1,4,6,6,6,2,2018,1,2,2009-03-01,2018-02-28,2018-09-01,,2018-05-01,2019-06-01,,13,0
103378,5,2,8,2,24.416666667,,,,,,,,,,,,,,,,,,,,,3,8,1,1,3,1,1,3,2,5,40,3,3,4,4,1,2,1,1,1,2,3.7,2,4,6,5,6,1,2018,1,2,2015-03-01,2018-02-28,2018-09-01,,2018-05-01,2018-11-01,,6,0
103427,5,2,8,1,25.583333333,,,,,,,,,,,,,,,,,,,,,-1,1,2,2,2,2,2,2,2,6,70,3,3,1,1,2,2,2,2,2,3,2.9,1,4,6,5,5,1,2018,1,2,2013-03-01,2018-02-28,2018-09-01,,2018-09-01,2018-11-01,,2,0
103428,5,2,8,1,24.5,,,,,,,,,,,,,,,,,,,,,6,1,1,1,3,1,2,1,3,5,40,5,4,5,3,1,3,1,1,1,3,3.8,1,5,7,7,7,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-04-01,2019-04-01,,12,0
103543,5,4,2,2,22,,,,,,,,,,,,,,,,,,,,,-1,2,1,2,2,2,2,1,2,5,40,3,4,4,4,1,2,1,1,1,3,3.9,1,4,6,5,5,1,2018,1,2,2016-03-01,2018-02-28,2018-09-01,,2018-01-01,2018-04-01,,3,0
103606,5,1,1,1,24.583333333,,,,,,,,,,,,,,,,,,,,,5,1,1,1,1,1,1,1,1,5,40,4,4,4,4,2,1,1,1,1,3,4,2,4,6,5,5,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-04-01,2018-09-01,,5,0
103611,5,1,1,1,22.583333333,,,,,,,,,,,,,,,,,,,,,2,5,3,3,3,3,3,3,3,4,8,4,4,1,1,2,2,2,2,2,3,3.1,1,4,6,5,5,1,2018,1,2,2015-03-01,2018-02-28,2018-09-01,,2018-04-01,2018-04-01,,0,0
103632,6,1,1,2,28.083333333,2,9,1,1,1,1,1,2,1,5,40,4,3,5,4,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,3,3.9,2,4,5,6,5,2,2018,0,1,2017-03-01,2018-02-28,2018-09-01,2013-04-01,,,65,,0
103642,6,2,9,2,23.916666667,,,,,,,,,,,,,,,,,,,,,7,5,1,1,1,1,1,1,1,5,40,4,4,4,5,1,2,1,1,1,3,3.9,2,4,5,5,5,1,2018,1,2,2015-03-01,2018-02-28,2018-09-01,,2018-03-01,2019-04-01,,13,0
103663,6,2,8,2,23.75,,,,,,,,,,,,,,,,,,,,,6,8,1,1,1,1,1,1,1,5,40,3,3,4,3,3,3,3,3,3,3,3.7,2,3,6,6,6,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-03-01,2018-05-01,,2,0
103831,6,2,8,2,24.416666667,,,,,,,,,,,,,,,,,,,,,2,1,1,1,2,2,1,2,2,5,40,2,2,4,4,1,2,1,1,1,3,4.3,1,3,3,4,4,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-05-01,2019-06-01,,13,0
103910,6,4,14,2,23.5,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1,2,1,2,1,5,38,2,1,3,3,1,3,1,1,1,3,3,1,4,5,5,5,1,2018,1,2,2015-03-01,2018-02-28,2018-09-01,,2018-04-01,2019-01-01,,9,0
103922,6,4,3,2,23.75,,,,,,,,,,,,,,,,,,,,,6,3,1,1,3,1,1,1,3,5,40,3,2,1,1,2,2,2,2,2,3,3,2,1,5,6,5,1,2018,1,2,2015-03-01,2018-02-28,2018-09-01,,2018-03-01,2018-05-01,,2,0
104030,6,2,8,2,31.333333333,,,,,,,,,,,,,,,,,,,,,2,1,1,1,3,1,1,1,3,6,50,2,4,4,4,1,2,1,1,1,3,3.5,1,4,6,6,6,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-06-01,2019-07-01,,13,0
104283,7,1,1,2,23,,,,,,,,,,,,,,,,,,,,,4,1,1,1,1,1,1,1,1,5,40,4,4,4,4,1,3,1,1,1,3,3.8,2,5,5,6,5,1,2018,1,2,2015-03-01,2018-02-28,2018-09-01,,2018-03-01,2018-07-01,,4,0
104311,7,2,8,1,25,,,,,,,,,,,,,,,,,,,,,3,11,1,1,2,2,2,1,2,5,40,3,3,2,3,1,2,1,1,1,3,3.8,2,4,4,4,4,1,2018,1,2,2013-03-01,2018-02-28,2018-09-01,,2018-03-01,2018-05-01,,2,0
104315,7,2,8,1,25.166666667,,,,,,,,,,,,,,,,,,,,,2,8,3,3,3,1,3,3,3,5,40,3,3,1,1,3,3,1,1,1,1,3.4,2,4,5,5,5,1,2018,1,2,2013-03-01,2018-02-28,2018-09-01,,2018-04-01,2018-05-01,,1,0
104367,7,2,8,2,22.75,,,,,,,,,,,,,,,,,,,,,1,8,2,2,2,2,2,2,2,5,30,2,2,1,1,2,2,2,2,2,3,3.6,2,4,6,6,5,1,2018,1,2,2016-03-01,2018-02-28,2018-09-01,,2018-03-01,2019-06-01,,15,0
104393,7,3,11,1,26,,,,,,,,,,,,,,,,,,,,,-1,8,1,1,3,1,1,1,3,5,40,3,3,4,4,1,2,1,1,1,3,3.4,2,5,6,7,6,1,2018,1,2,2012-03-01,2018-02-28,2018-09-01,,2018-05-01,2019-02-01,,9,0
104451,7,4,3,1,25.416666667,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,1,2,2,2,5,45,3,3,2,2,2,2,2,2,2,1,4,1,3,4,5,4,1,2018,1,2,2013-03-01,2018-02-28,2018-09-01,,2018-02-01,2018-08-01,,6,0
104539,7,3,4,2,22.083333333,,,,,,,,,,,,,,,,,,,,,5,4,1,1,1,1,1,1,1,5,40,4,4,4,4,1,2,1,1,1,3,3,1,4,5,6,7,1,2018,1,2,2016-03-01,2018-02-28,2018-09-01,,2017-10-01,2018-10-01,,12,0
104565,7,4,3,1,25.416666667,,,,,,,,,,,,,,,,,,,,,1,15,1,3,3,3,3,3,3,5,40,4,3,1,3,2,3,2,2,2,2,3.5,2,3,3,4,3,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-05-01,2018-07-01,,2,0
104601,7,2,8,2,25.833333333,,,,,,,,,,,,,,,,,,,,,3,8,2,1,2,2,1,1,2,5,40,3,3,3,2,1,2,1,1,1,3,3.5,2,5,6,6,6,1,2018,1,2,2016-03-01,2018-02-28,2018-09-01,,2018-02-01,2018-03-01,,1,0
104632,7,2,8,2,23.666666667,,,,,,,,,,,,,,,,,,,,,-1,1,3,3,3,3,2,2,3,2,10,3,3,1,2,3,3,3,1,3,3,2.9,1,3,5,5,5,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2017-11-01,2018-06-01,,7,0
104643,7,2,8,1,24.333333333,,,,,,,,,,,,,,,,,,,,,6,8,1,1,1,3,1,3,1,6,54,3,3,1,1,1,2,1,1,1,1,3.5,1,5,4,5,5,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-01-01,2018-12-01,,11,0
104794,7,2,8,2,22.666666667,,,,,,,,,,,,,,,,,,,,,-1,1,1,1,1,1,1,1,1,5,40,4,4,4,4,1,3,1,1,1,3,3.8,1,4,5,5,5,1,2018,1,2,2015-03-01,2018-02-28,2018-09-01,,2017-09-01,2019-03-01,,18,0
104804,7,2,5,2,21.916666667,,,,,,,,,,,,,,,,,,,,,-1,5,3,3,3,3,3,3,3,3,16,5,5,1,3,3,3,3,3,3,1,4,2,5,7,7,7,1,2018,1,2,2016-03-01,2018-02-28,2018-09-01,,2018-06-01,2019-07-01,,13,0
104888,7,4,2,1,24.166666667,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,6,48,4,4,1,1,3,3,3,3,3,1,3.4,2,3,6,5,5,1,2018,1,2,2016-03-01,2018-02-28,2018-09-01,,2018-04-01,2018-10-01,,6,0
104970,7,4,2,1,25.666666667,2,2,1,1,3,2,1,2,3,5,40,4,4,4,4,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,,3,4.3,2,5,7,7,7,1,2018,0,1,2016-03-01,2018-02-28,2018-09-01,2016-07-01,,,26,,0
104995,7,2,8,2,27,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1,2,1,2,1,5,40,3,3,4,5,1,2,1,1,1,3,3.8,1,2,5,5,5,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-03-01,2019-02-01,,11,0
105005,7,2,8,2,21.75,,,,,,,,,,,,,,,,,,,,,-1,1,2,2,2,1,2,2,2,2,16,4,4,1,1,2,2,3,3,3,3,4.1,1,4,6,5,5,1,2018,1,2,2016-03-01,2018-02-28,2018-09-01,,2017-12-01,2018-05-01,,5,0
105039,7,2,8,2,23.25,,,,,,,,,,,,,,,,,,,,,3,16,2,2,2,2,2,2,2,4,20,3,3,4,4,2,2,2,2,2,3,4,2,4,5,4,4,1,2018,1,2,2016-03-01,2018-02-28,2018-09-01,,2019-07-01,2019-08-01,,1,0
105047,7,2,8,1,26.25,,,,,,,,,,,,,,,,,,,,,5,8,2,2,2,1,2,2,2,5,35,3,3,2,2,2,2,2,2,2,3,3.2,1,4,5,5,5,1,2018,1,2,2013-03-01,2018-02-28,2018-09-01,,2018-05-01,2018-07-01,,2,0
105133,7,4,2,2,25.666666667,,,,,,,,,,,,,,,,,,,,,-1,2,1,1,3,1,3,1,3,5,35,3,2,2,1,3,3,1,1,1,3,4.3,1,4,5,5,4,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-01-01,2018-08-01,,7,0
105163,7,2,8,2,23.666666667,,,,,,,,,,,,,,,,,,,,,-1,1,1,1,2,1,1,2,2,5,40,3,5,5,5,1,2,2,1,3,3,3.2,1,4,6,7,5,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2017-05-01,2018-11-01,,18,0
105275,3,1,1,1,24.666666667,,,,,,,,,,,,,,,,,,,,,4,1,2,2,2,2,2,2,2,5,40,4,4,5,4,1,2,1,1,1,3,4.3,2,5,6,6,6,1,2018,1,2,2014-03-01,2018-02-28,2018-09-01,,2018-03-01,2019-02-01,,11,0
