pid,majorcat,province,area,sex,age,a003,a010,a038,a039,a043,a045,a046,a048,a392,a116,a117,a140,a141,a144,a146,a158,a159,a160,a161,a162,d016,d020,d041,d042,d046,d048,d049,d051,d254,d106,d107,d130,d131,d134,d136,d144,d145,d146,d147,d148,f073,f074,h001,q001,q015,q016,q017,p001,year,Resign,First_Work,Admission,Graduation,Cur,Cur_Work_date,Start_Work1_date,End_Work1_date,Work_to_Cur,Start_to_End,ck
65083,4,2,9,1,28.75,,,,,,,,,,,,,,,,,,,,,9,5,1,1,1,1,1,1,1,5,40,3,3,1,1,1,2,1,1,1,3,2.7,1,3,4,4,4,1,2019,1,2,2010-03-01,2018-08-31,2019-09-01,,2018-08-01,2019-02-01,,6,0
65222,4,4,2,2,25.666666667,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,1,2,3,2,2,12,2,3,3,1,2,2,2,2,2,3,3.7,1,5,5,5,5,1,2019,1,2,2015-03-01,2018-08-31,2019-09-01,,2018-05-01,2018-10-01,,5,0
65234,4,4,2,1,26.75,,,,,,,,,,,,,,,,,,,,,3,2,3,2,3,2,1,2,2,5,40,3,4,5,4,1,2,1,1,1,3,3.6,1,5,5,6,6,1,2019,1,2,2012-03-01,2019-02-28,2019-09-01,,2018-08-01,2019-04-01,,8,0
65244,4,4,7,2,23.916666667,,,,,,,,,,,,,,,,,,,,,6,7,3,1,3,2,3,1,3,5,40,3,4,3,3,1,2,1,1,1,3,3.87,1,4,6,6,6,1,2019,1,2,2015-03-01,2019-02-28,2019-09-01,,2019-01-01,2019-05-01,,4,0
65351,4,4,2,1,27.5,,,,,,,,,,,,,,,,,,,,,1,2,3,3,3,3,3,3,3,6,72,3,3,1,1,3,3,3,3,3,3,2.3,1,3,4,4,4,1,2019,1,2,2012-03-01,2019-02-28,2019-09-01,,2019-09-01,2020-02-01,,5,0
65446,4,2,8,2,25.583333333,,,,,,,,,,,,,,,,,,,,,6,8,1,1,1,1,1,1,1,5,40,2,3,3,4,1,2,1,2,2,2,3,2,3,3,3,3,1,2019,1,2,2014-03-01,2019-02-28,2019-09-01,,2019-01-01,2020-02-01,,13,0
65460,4,3,4,1,27.583333333,,,,,,,,,,,,,,,,,,,,,5,4,3,1,2,2,3,3,2,5,40,4,4,4,4,1,2,1,1,2,3,4.5,2,5,7,7,7,1,2019,1,2,2012-03-01,2019-02-28,2019-09-01,,2019-09-01,2020-02-01,,5,0
65522,4,4,14,1,27.666666667,,,,,,,,,,,,,,,,,,,,,3,3,1,1,1,1,1,1,1,5,40,3,3,3,3,1,2,1,1,1,3,3.6,2,4,6,6,6,1,2019,1,2,2012-03-01,2019-02-28,2019-09-01,,2019-02-01,2020-05-01,,15,0
65657,4,3,4,2,33.75,2,5,1,1,1,2,1,1,1,5,40,5,5,3,3,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,-1,,2,5,1,1,1,1,2019,0,1,2017-03-01,2019-02-28,2019-09-01,2011-07-01,,,98,,0
65721,4,5,13,1,27.083333333,,,,,,,,,,,,,,,,,,,,,4,13,3,2,1,1,2,3,1,5,40,2,4,4,3,2,2,1,1,1,3,3.61,1,3,5,6,6,1,2019,1,2,2012-03-01,2019-02-28,2019-09-01,,2019-09-01,2020-02-01,,5,0
65729,4,1,1,1,28.75,,,,,,,,,,,,,,,,,,,,,8,14,1,1,1,1,1,2,1,5,40,3,4,3,3,1,2,1,1,1,1,3.8,2,4,5,4,6,1,2019,1,2,2011-03-01,2018-08-31,2019-09-01,,2019-06-01,2020-03-01,,9,0
65802,4,3,4,1,28,,,,,,,,,,,,,,,,,,,,,6,4,3,3,3,3,3,3,3,5,40,4,4,3,3,1,2,1,1,1,3,3.8,1,5,7,6,5,1,2019,1,2,2011-03-01,2019-02-28,2019-09-01,,2019-05-01,2019-07-01,,2,0
65824,4,3,11,2,23.75,,,,,,,,,,,,,,,,,,,,,5,8,3,2,2,2,2,2,2,5,8,2,4,4,2,1,2,1,1,1,3,4.09,1,3,4,4,4,1,2019,1,2,2015-03-01,2019-02-28,2019-09-01,,2019-07-01,2020-03-01,,8,0
65846,4,4,14,1,26.666666667,,,,,,,,,,,,,,,,,,,,,3,14,1,3,3,1,1,3,1,5,20,2,3,1,1,3,3,1,1,3,3,3.94,1,4,4,5,6,1,2019,1,2,2012-03-01,2019-02-28,2019-09-01,,2019-11-01,2019-12-01,,1,0
65851,4,4,14,1,25.833333333,,,,,,,,,,,,,,,,,,,,,-1,14,1,1,3,3,3,3,3,5,40,3,4,4,3,1,2,1,1,1,3,3.74,2,4,5,5,5,1,2019,1,2,2013-03-01,2019-02-28,2019-09-01,,2019-04-01,2019-10-01,,6,0
65926,4,2,5,1,27.5,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,5,40,3,1,3,4,1,2,1,1,1,3,3,1,4,7,7,1,1,2019,1,2,2012-03-01,2018-08-31,2019-09-01,,2018-10-01,2018-12-01,,2,0
65944,4,3,11,1,25.666666667,,,,,,,,,,,,,,,,,,,,,1,11,3,3,3,2,3,3,3,5,45,2,4,5,4,2,3,2,2,2,3,3.3,1,2,2,6,6,1,2019,1,2,2013-03-01,2019-02-28,2019-09-01,,2019-12-01,2020-01-01,,1,0
66015,4,3,4,2,24.416666667,,,,,,,,,,,,,,,,,,,,,6,4,1,1,3,1,1,1,3,5,40,5,5,5,5,1,2,1,1,1,3,3.9,1,4,6,6,6,1,2019,1,2,2015-03-01,2019-02-28,2019-09-01,,2018-06-01,2019-12-01,,18,0
66146,5,4,3,2,26.75,,,,,,,,,,,,,,,,,,,,,2,14,2,2,2,2,2,2,2,3,21,3,3,3,3,2,2,2,2,2,1,3.7,2,3,6,5,6,1,2019,1,2,2015-03-01,2019-02-28,2019-09-01,,2019-02-01,2019-05-01,,3,0
66184,5,3,10,2,28.583333333,,,,,,,,,,,,,,,,,,,,,1,5,3,2,3,2,3,2,3,5,40,1,2,1,1,1,2,1,1,1,3,3,1,1,1,1,1,1,2019,1,2,2010-03-01,2019-02-28,2019-09-01,,2019-01-01,2019-03-01,,2,0
66186,5,4,15,2,23.75,,,,,,,,,,,,,,,,,,,,,4,2,2,1,3,2,2,1,3,5,40,4,4,4,4,1,2,1,1,1,3,2.8,2,3,5,5,5,1,2019,1,2,2015-03-01,2019-02-28,2019-09-01,,2019-02-01,2019-12-01,,10,0
