pid,majorcat,province,area,sex,age,a003,a010,a038,a039,a043,a045,a046,a048,a392,a116,a117,a140,a141,a144,a146,a158,a159,a160,a161,a162,d016,d041,d042,d046,d048,d049,d051,d254,d106,d107,d130,d131,d134,d136,d144,d145,d146,d147,d148,f073,f074,h001,q001,q015,q016,q017,p001,First_Work,year,Resign,Admission,Graduation,Cur,Cur_Work_date,Start_Work1_date,End_Work1_date,Work_to_Cur,Start_to_End,FirstWorkPeriod,LongWork,LongWork2,major_same,major_help,big_company,work_sati,company_sati,supply1,supply2,supply3,supply4,supply5,supply6,supply7,work_day,work_time,insurance1,insurance2,insurance3,insurance4,insurance5,score,q001G,p001G,provinceG,major_sameG,major_helpG,majorcatG,q015G,q016G,q017G,big_companyG,work_satiG,company_satiG,supply,insurance,work_timeB,주당근로일,주당근로시간,직장에서의복리후생제공여부,보험가입여부,직장만족도,주당근로시간_binary
26402,2,5,13,1,27,,,,,,,,,,,,,,,,,,,,,6,1,1,1,1,1,1,1,5,40,3,2,4,2,1,2,1,1,1,3,3,2,4,2,3,2,1,2,2020,1,2012-03-01,2019-02-28,2020-09-01,,2019-02-01,2020-06-01,,16,16,1,0,4,2,6,2,3,1,1,1,1,1,1,1,5,40,1,2,1,1,1,3,3,1,2,3,1,1,1,1,1,2,1,2,1,1,0,5,40,제공한다,가입했다,보통이다,40시간이하
26437,2,4,15,1,25.83333333,,,,,,,,,,,,,,,,,,,,,9,1,1,1,2,1,1,1,5,40,2,2,2,2,1,2,1,1,1,3,3.9,2,3,6,7,6,1,2,2020,1,2013-03-01,2019-02-28,2020-09-01,,2019-06-01,2020-02-01,,8,8,0,0,2,2,9,2,2,1,1,1,2,1,1,1,5,40,1,2,1,1,1,3,2,1,2,1,1,1,3,3,3,1,1,1,0,1,0,5,40,제공하지않는다,가입했다,그렇지않다,40시간이하
26475,2,1,1,2,27.33333333,,,,,,,,,,,,,,,,,,,,,4,1,1,3,2,1,2,1,5,40,2,2,4,2,1,2,1,1,1,3,3.8,1,4,5,6,6,1,2,2020,1,2012-03-01,2018-08-31,2020-09-01,,2018-04-01,2019-04-01,,12,12,1,0,4,2,4,2,2,1,1,3,2,1,2,1,5,40,1,2,1,1,1,3,3,1,1,3,1,1,3,3,3,2,1,1,0,1,0,5,40,제공하지않는다,가입했다,그렇지않다,40시간이하
26494,2,1,1,1,27.41666667,2,6,1,1,1,1,1,1,1,5,40,5,5,4,5,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,3,3.6,1,4,7,6,6,1,1,2020,0,2012-03-01,2019-02-28,2020-09-01,2018-01-01,,,32,,32,1,1,4,5,6,5,5,1,1,1,1,1,1,1,5,40,2,1,1,1,1,3,3,1,1,3,3,1,3,3,3,2,3,3,1,0,0,5,40,제공한다,가입하지않음,그렇다,40시간이하
26517,2,2,8,2,27.5,,,,,,,,,,,,,,,,,,,,,-1,3,3,3,3,3,3,3,1,4,2,2,2,1,2,2,2,2,2,3,3.8,2,3,5,5,5,1,2,2020,1,2012-03-01,2019-02-28,2020-09-01,,2020-07-01,2020-08-01,,1,1,0,0,2,1,-1,2,2,3,3,3,3,3,3,3,1,4,2,2,2,2,2,3,2,1,1,1,1,1,3,3,3,,1,1,0,0,0,1,4,제공하지않는다,가입하지않음,그렇지않다,40시간이하
26518,2,2,8,2,28.16666667,2,6,1,1,1,1,1,1,1,5,40,5,4,3,4,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,3,2,1,2,5,5,5,3,1,2020,0,2011-03-01,2018-08-31,2020-09-01,2017-10-01,,,35,,35,1,1,3,4,6,4,5,1,1,1,1,1,1,1,5,40,1,2,1,1,1,3,1,1,1,2,3,1,3,3,3,2,3,3,1,1,0,5,40,제공한다,가입했다,그렇다,40시간이하
26537,2,3,4,1,27.58333333,,,,,,,,,,,,,,,,,,,,,1,3,3,3,3,3,3,3,5,15,3,4,1,1,2,2,2,2,2,3,3.4,1,5,7,7,7,1,2,2020,1,2011-03-01,2019-02-28,2020-09-01,,2019-05-01,2020-06-01,,13,13,1,0,1,1,1,4,3,3,3,3,3,3,3,3,5,15,2,2,2,2,2,3,3,1,2,1,1,1,3,3,3,2,3,2,0,0,0,5,15,제공하지않는다,가입하지않음,보통이다,40시간이하
26542,2,3,4,1,26.58333333,2,9,1,1,1,1,1,2,1,5,40,2,2,4,4,2,2,1,2,1,,,,,,,,,,,,,,,,,,,,3,3.6,1,4,1,2,3,2,1,2020,0,2011-03-01,2018-08-31,2020-09-01,2018-01-01,,,32,,32,1,1,4,4,9,2,2,1,1,1,1,1,2,1,5,40,2,2,1,2,1,3,3,2,2,3,3,1,1,1,1,1,1,1,0,0,0,5,40,제공하지않는다,가입하지않음,그렇지않다,40시간이하
26561,2,4,15,2,25.58333333,2,9,1,1,1,1,1,3,1,5,40,4,4,3,2,3,3,1,3,3,,,,,,,,,,,,,,,,,,,,3,3.2,2,4,6,6,6,1,1,2020,0,2013-03-01,2019-02-28,2020-09-01,2018-09-01,,,24,,24,1,1,3,2,9,4,4,1,1,1,1,1,3,1,5,40,3,3,1,3,3,3,3,1,2,2,1,1,3,3,3,1,3,3,0,0,0,5,40,제공하지않는다,가입하지않음,그렇다,40시간이하
26625,2,1,1,2,23.58333333,,,,,,,,,,,,,,,,,,,,,3,3,3,3,2,3,3,3,3,21,1,1,2,3,1,2,2,1,2,3,3.66,2,2,1,1,1,1,2,2020,1,2015-03-01,2019-02-28,2020-09-01,,2019-06-01,2019-06-01,,0,0,0,0,2,3,3,1,1,3,3,3,2,3,3,3,3,21,1,2,2,1,2,3,1,1,1,1,2,1,1,1,1,2,1,1,0,0,0,3,21,제공하지않는다,가입하지않음,그렇지않다,40시간이하
26630,2,1,1,2,27.25,,,,,,,,,,,,,,,,,,,,,4,2,2,2,1,2,2,2,5,30,4,4,4,4,2,2,2,3,3,3,4.1,2,4,4,4,4,1,2,2020,1,2015-03-01,2019-02-28,2020-09-01,,2019-12-01,2020-02-01,,2,2,0,0,4,4,4,4,4,2,2,2,1,2,2,2,5,30,2,2,2,3,3,3,3,1,1,3,3,1,2,2,2,2,3,3,0,0,0,5,30,제공하지않는다,가입하지않음,그렇다,40시간이하
26723,2,3,11,1,27.08333333,,,,,,,,,,,,,,,,,,,,,9,1,1,3,2,1,2,1,5,40,4,4,4,4,1,2,1,1,2,3,3.02,1,5,7,7,7,1,2,2020,1,2012-03-01,2019-02-28,2020-09-01,,2019-03-01,2020-03-01,,12,12,1,0,4,4,9,4,4,1,1,3,2,1,2,1,5,40,1,2,1,1,2,3,3,1,2,3,3,1,3,3,3,1,3,3,0,0,0,5,40,제공하지않는다,가입하지않음,그렇다,40시간이하
